front,back
ὁ λογος,masc sing nom
του λογου,masc sing gen
τῳ λογῳ,masc sing dat
τον λογον,masc sing acc
οι λογοι,masc pl nom
των λογων,masc pl gen
τοις λογοις,masc pl dat
τους λογους,masc pl acc
ἡ γραφη ἡ ὣρα,fem sing nom
τῆς γραφῆς τῆς ὣρας,fem sing gen
τῇ γραφῇ τῇ ὣρᾳ,fem sing dat
την γραφην την ὣραν,fem sing acc
αἱ γραφαι,fem pl nom
των γραφων,fem pl gen
ταις γραφαις,fem pl dat
τας γραφας,fem pl acc
το εργον,neut sing nom
του εργου,neut sing gen
τῷ εργῳ,neut sing dat
το εργον,neut sing acc
τα εργα,neut pl nom
των εργων,neut pl gen
τοις εργοις,neut pl dat
τα εργα,neut pl acc
